[DEBUG] 2020-04-04 20:16:17.462 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-04-04 20:16:17.465 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-04-04 20:16:17.470 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-04-04 20:16:17.557 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-04-04 20:16:17.560 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-04-04 20:16:17.754 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-04-04 20:16:17.755 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-04-04 20:16:17.761 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-04-04 20:16:18.030 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-04-04 20:16:18.049 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-04-04 20:16:18.050 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-04-04 20:16:18.066 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-04-04 20:16:18.092 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6940f685
[DEBUG] 2020-04-04 20:16:18.093 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6940f685
[DEBUG] 2020-04-04 20:16:18.093 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@6940f685
[DEBUG] 2020-04-04 20:16:18.093 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@783115d9
[DEBUG] 2020-04-04 20:16:18.093 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@363a3d15
[DEBUG] 2020-04-04 20:16:18.094 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@499683c4
[DEBUG] 2020-04-04 20:16:18.095 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@e48bf9a
[DEBUG] 2020-04-04 20:16:18.095 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@e48bf9a
[DEBUG] 2020-04-04 20:16:18.095 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@e48bf9a
[DEBUG] 2020-04-04 20:16:18.095 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@5ff90645
[DEBUG] 2020-04-04 20:16:18.095 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@5ff90645
[DEBUG] 2020-04-04 20:16:18.095 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@5ff90645
[DEBUG] 2020-04-04 20:16:18.096 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@5533dc72
[DEBUG] 2020-04-04 20:16:18.096 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@5533dc72
[DEBUG] 2020-04-04 20:16:18.096 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@5533dc72
[DEBUG] 2020-04-04 20:16:18.097 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@164a62bf
[DEBUG] 2020-04-04 20:16:18.097 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@164a62bf
[DEBUG] 2020-04-04 20:16:18.097 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@164a62bf
[DEBUG] 2020-04-04 20:16:18.098 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@75769ab0
[DEBUG] 2020-04-04 20:16:18.098 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@75769ab0
[DEBUG] 2020-04-04 20:16:18.098 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@75769ab0
[DEBUG] 2020-04-04 20:16:18.098 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@4c59e45e
[DEBUG] 2020-04-04 20:16:18.099 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@4c59e45e
[DEBUG] 2020-04-04 20:16:18.099 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@4c59e45e
[DEBUG] 2020-04-04 20:16:18.099 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@36fcf6c0
[DEBUG] 2020-04-04 20:16:18.099 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@36fcf6c0
[DEBUG] 2020-04-04 20:16:18.099 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@36fcf6c0
[DEBUG] 2020-04-04 20:16:18.100 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@713064e8
[DEBUG] 2020-04-04 20:16:18.100 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@713064e8
